Country,Edition,GDP,Scale,Total,Status,Population,relGDP
Albania,2020,15997,Billions,67,PF,2877.8,5558760.164014177
Algeria,2020,195367,Billions,34,NF,43851.04299999999,4455241.805765031
Angola,2020,120822,Billions,32,NF,32866.26799999999,3676170.351924351
Antigua and Barbuda,2020,1585,Billions,85,F,97.92799999999998,16185360.67314762
Argentina,2020,773445,Billions,85,F,45195.777,17113213.91819417
Australia,2020,1574192,Billions,97,F,25499.880999999998,61733307.696612395
Austria,2020,446113,Billions,93,F,9006.399999999998,49532887.72428496
Bahrain,2020,39025,Billions,11,NF,1701.5829999999999,22934526.261722177
Bangladesh,2020,319237,Billions,39,PF,164689.38299999997,1938418.823270472
Barbados,2020,5327,Billions,95,F,287.37100000000004,18537013.12936935
Belgium,2020,543065,Billions,96,F,11589.616000000005,46857894.17009155
Belize,2020,2090,Billions,86,F,397.62100000000004,5256261.615960927
Benin,2020,12065,Billions,66,PF,12123.198000000002,995199.4514978637
Bhutan,2020,3293,Billions,59,PF,771.6119999999999,4267688.942110802
Botswana,2020,13324,Billions,72,F,2351.625,5665869.345665231
Brazil,2020,2213760,Billions,75,F,212559.40899999999,10414782.438541688
Bulgaria,2020,61087,Billions,80,F,6948.445000000001,8791463.413756602
Burkina Faso,2020,16818,Billions,56,PF,20903.278,804562.8058910186
Burundi,2020,3034,Billions,13,NF,11890.780999999999,255155.6537791757
Cabo Verde,2020,2183,Billions,92,F,555.9880000000002,3926343.7340374244
Cameroon,2020,40547,Billions,18,NF,26545.863999999998,1527431.9193377923
Canada,2020,1855696,Billions,98,F,37742.157,49167725.09848867
Central African Republic,2020,2836,Billions,10,NF,4829.764000000001,587192.2520437851
Chad,2020,15118,Billions,17,NF,16425.859,920378.0453734566
Chile,2020,280483,Billions,90,F,19116.209,14672522.151227787
China,2020,16458029,Billions,10,NF,1439323.774,11434556.489164196
Colombia,2020,380615,Billions,66,PF,50882.884000000005,7480216.726709122
Comoros,2020,806,Billions,44,PF,869.5949999999999,926868.2547622746
Costa Rica,2020,75227,Billions,91,F,5094.1140000000005,14767435.514792167
Cyprus,2020,23456,Billions,94,F,1207.3610000000003,19427495.173357427
Denmark,2020,356532,Billions,97,F,5792.2029999999995,61553781.8684877
Dominica,2020,626,Billions,93,F,71.991,8695531.385867678
Dominican Republic,2020,88569,Billions,67,PF,10847.903999999997,8164618.713439945
Ecuador,2020,97156,Billions,65,PF,17643.06,5506754.497235741
El Salvador,2020,31532,Billions,66,PF,6486.201,4861397.2955818055
Equatorial Guinea,2020,11998,Billions,6,NF,1402.9850000000004,8551766.412327997
Ethiopia,2020,99543,Billions,24,NF,114963.58300000003,865865.4975984871
Fiji,2020,5531,Billions,60,PF,896.4439999999996,6169933.648950745
Finland,2020,278261,Billions,100,F,5540.718,50221108.527811736
France,2020,2850668,Billions,90,F,65273.511999999995,43672661.584380515
Gabon,2020,20255,Billions,22,NF,2225.7279999999996,9100393.219656672
Germany,2020,4007765,Billions,94,F,83783.94500000004,47834522.47324948
Ghana,2020,60171,Billions,82,F,31072.945000000003,1936443.4236922183
Greece,2020,236538,Billions,88,F,10423.055999999999,22693728.211764384
Grenada,2020,1263,Billions,89,F,112.51899999999999,11224770.927576678
Guatemala,2020,87493,Billions,52,PF,17915.567000000003,4883629.973865744
Guinea,2020,8318,Billions,40,PF,13132.791999999996,633376.3604875492
Guinea-Bissau,2020,1556,Billions,46,PF,1967.9979999999998,790651.2100113924
Guyana,2020,4247,Billions,74,F,786.559,5399467.80851786
Haiti,2020,8656,Billions,38,PF,11402.532999999998,759129.5723502841
Honduras,2020,23547,Billions,45,PF,9904.608000000004,2377378.2869549193
Hungary,2020,135140,Billions,70,PF,9660.350000000002,13989141.18018498
Iceland,2020,24815,Billions,94,F,341.25,72717948.71794872
India,2020,3297453,Billions,71,F,1380004.385,2389451.1030847197
Indonesia,2020,1273809,Billions,61,PF,273523.62100000016,4657034.72096108
Ireland,2020,379867,Billions,97,F,4937.796,76930476.67420849
Israel,2020,374164,Billions,76,F,8655.541,43228262.681674086
Italy,2020,2045978,Billions,89,F,60461.82799999999,33839168.739655055
Jamaica,2020,16993,Billions,78,F,2961.1609999999996,5738627.518057952
Japan,2020,5506436,Billions,96,F,126476.45800000003,43537240.740881585
Jordan,2020,50383,Billions,37,PF,10203.140000000001,4937989.677687456
Kenya,2020,95476,Billions,48,PF,53771.30000000001,1775594.043662697
Kiribati,2020,193,Billions,93,F,119.44599999999998,1615792.9106039552
Kuwait,2020,154071,Billions,36,PF,4270.563000000001,36077444.58985852
Lebanon,2020,61085,Billions,44,PF,6825.441999999996,8949603.556809952
Lesotho,2020,2218,Billions,63,PF,2142.252,1035359.0520629693
Libya,2020,87987,Billions,9,NF,6871.2869999999975,12805024.735540815
Luxembourg,2020,76485,Billions,98,F,625.9759999999999,122185195.59855331
Madagascar,2020,12668,Billions,61,PF,27691.018999999997,457476.8447488336
Malawi,2020,7604,Billions,62,PF,19129.95500000001,397491.7870951603
Malaysia,2020,472690,Billions,52,PF,32365.998000000003,14604524.167615654
Maldives,2020,4378,Billions,40,PF,540.5419999999997,8099278.131949049
